NPOPA$	NPOPB$	NPOPC$	NPOPD$	NPOPE$	NG4	NG2	NG1	NG3	TE$	TED$	TDC$	TCB$	TBA$	ASY	aAYS	TF$	TD$	TC$	TB$	TA$	MaxEstLhood	MaxObsLhood
169247	324	22089047	1210	223	293853	435766	31980	544857	49726	148	2880	5262	7705	0.0554615	0.9445385	49725	49874	52754	58016	65721	-489417.641	-488910.608
169247	311	57272	1210	207	293853	436335	31980	544857	49726	159	2880	80808	7705	0.0585850	0.9414150	49725	49885	52765	133573	141278	-477867.304	-477334.731
169247	311	10106007	1210	259	293853	436335	31980	544857	49726	178	2880	455	7705	0.0578624	0.9421376	49725	49904	52784	53239	60944	-479503.325	-478989.431
169247	290	6462751	1210	149	293853	436335	31980	544857	49726	114	2880	50744	7705	0.0614065	0.9385935	49725	49840	52720	103464	111169	-467095.632	-466610.932
169247	311	85094	1210	173	293853	436335	31980	544857	49727	129	2880	1083	7705	0.0549980	0.9450020	49726	49856	52736	53819	61524	-472603.680	-471997.603
169247	311	568643	1210	135	293853	435199	31980	544857	49726	101	2880	13906	7705	0.0558669	0.9441331	49725	49827	52707	66613	74318	-483860.530	-483328.340
169247	311	1115718	1210	161	293853	436335	31980	544857	49726	122	2880	7781	7705	0.0580330	0.9419670	49725	49848	52728	60509	68214	-477147.020	-476616.196
169247	311	4712758	1210	173	293853	436335	31980	544857	49728	123	2880	4727	7705	0.0568359	0.9431641	49727	49851	52731	57458	65163	-480503.789	-479949.389
169247	288	11929	1210	286	293853	435199	31980	544857	49726	209	2866	3073	6994	0.0583064	0.9416936	49725	49935	52801	55874	62868	-476808.023	-476294.330
169247	311	13147	1210	169	293853	436335	31980	544857	49726	124	2880	3085	7705	0.0550652	0.9449348	49725	49850	52730	55815	63520	-480818.072	-480297.758
169247	311	40213151	1210	173	293853	436335	31980	544857	49726	124	2880	29465	7705	0.0553633	0.9446367	49725	49850	52730	82195	89900	-484603.575	-484099.852
169247	311	85094	1210	172	293853	436335	31980	544857	49726	122	2880	5189	7705	0.0568359	0.9431641	49725	49848	52728	57917	65622	-477614.461	-477177.978
169247	311	9715	1210	440	293853	436335	31980	544857	49726	339	2880	1036	7705	0.0569883	0.9430117	49725	50065	52945	53981	61686	-479035.293	-478587.266
169247	327	374354	1210	194	293853	436335	31980	544857	49726	132	2880	489	7705	0.0528419	0.9471581	49725	49858	52738	53227	60932	-484371.623	-483845.836
169247	311	632610	1210	142	293853	436335	31980	544857	49726	108	2880	19204	7705	0.0526690	0.9473310	49725	49834	52714	71918	79623	-479629.576	-479179.714
169247	311	339990	1210	166	293853	436335	31980	544857	49726	123	2880	42407	7705	0.0552493	0.9447507	49725	49849	52729	95136	102841	-476207.657	-475744.172
169247	311	6655129	1210	219	293853	436335	31980	544857	49726	160	2880	21200	7705	0.0602376	0.9397624	49725	49886	52766	73966	81671	-481721.822	-481242.858
169247	309	60973	1210	153	293853	436335	31980	544857	49726	113	2880	1784	7705	0.0522503	0.9477497	49725	49839	52719	54503	62208	-470534.028	-470025.567
169247	311	580289	1210	158	293853	435767	31980	544857	49726	111	2880	11766	7705	0.0558494	0.9441506	49725	49837	52717	64483	72188	-478944.400	-478461.196
169247	311	212831	1210	217	257536	436335	31980	544857	49726	144	3379	35827	7705	0.0555642	0.9444358	49725	49870	53249	89076	96781	-474590.530	-474070.473
169247	311	3003020	1210	185	293853	436335	31980	544857	49726	135	2880	9989	7705	0.0547570	0.9452430	49725	49861	52741	62730	70435	-477578.260	-477118.318
169247	325	281235	1210	174	293853	436335	31980	544857	49726	125	2877	16932	7705	0.0538552	0.9461448	49725	49851	52728	69660	77365	-487112.183	-486650.789
169247	311	15049	1210	173	293853	436335	31980	544857	49727	117	2880	1363	7705	0.0540848	0.9459152	49726	49844	52724	54087	61792	-478977.791	-478441.057
215581	291	462	1210	166	293853	435766	31980	544857	49726	114	2813	1926	7695	0.0569790	0.9430210	49725	49840	52653	54579	62274	-481624.914	-481041.773
169247	311	1583814	1210	172	293853	436335	31980	544857	49726	126	2880	19634	7705	0.0605803	0.9394197	49725	49852	52732	72366	80071	-479852.829	-479310.863
169247	311	103360	1210	154	293853	436335	31980	544857	49726	111	2880	1268	7705	0.0543430	0.9456570	49725	49837	52717	53985	61690	-476143.120	-475601.375
169247	311	1555247	1210	152	293853	435767	31980	544857	49726	113	2877	3189	7705	0.0553051	0.9446949	49725	49839	52716	55905	63610	-476786.636	-476308.089
169247	311	4712757	1210	164	293853	436335	31980	544857	49726	122	2880	9568	7705	0.0551823	0.9448177	49725	49848	52728	62296	70001	-479730.012	-479223.278
169247	311	13325899	1210	201	293853	436335	31980	544857	49726	154	2880	3269	7705	0.0567874	0.9432126	49725	49880	52760	56029	63734	-482166.274	-481690.767
